mpan,TOTAL (A),TOTAL (E),eac
1030014225739,46924.6,55950.5,2338.070455
2000027495050,0,55698.1,1265.865909
1200052134840,0,55266.8,1256.063636
1014572949046,0,55105.9,1252.406818
2380001922633,80217.3,54908.4,3071.038636
1428836100006,19854.9,54853.5,1697.918182
1200010095605,0,54468.4,1237.918182
2000052963492,0,54345.1,1235.115909
1900027426870,314176.8,54342,8375.427273
1580001858365,0,54322.2,1234.595455
1800035345423,0,54309.8,1234.313636
2100041021190,0,54301.6,1234.127273
1620000232959,0,54297.2,1234.027273
1014569113794,641729,54227.3,15817.18864
1580000620794,0,54172.8,1231.2
1460001987295,1218.2,54077.6,1256.722727
1200060668527,27537,54051.9,1854.293182
1014572919609,0,53957.2,1226.3
1200050409949,14678,53901.9,1558.634091
2000051392156,0,53899.3,1224.984091
1300061202429,85641,53700.5,3166.852273
1014572894308,0,53684.6,1220.104545
1900061275113,144662.7,53647.3,4507.045455
2380001904420,0,53219.1,1209.525
2199989627988,422985.9,53031.1,10818.56818
1014568778682,0,52923.3,1202.802273
2336588981018,0,52889,1202.022727
1030014510704,523980.7,52886.1,13110.60909
2000054263435,41743.2,52736.3,2147.261364
1200052252181,11955.7,52662.2,1468.588636
1200060950538,0,52628.5,1196.102273
1030014510476,520744.8,52419.2,13026.45455
2700000462905,0,52350.7,1189.788636
1800060697302,20915.5,52005.2,1657.288636
1600000158052,0,51887,1179.25
1700052676622,0,51320.1,1166.365909
1014572831975,0,51163.4,1162.804545
2000027851304,0,51143,1162.340909
2000050277806,19192.4,51065.8,1596.777273
1014571688870,0,51012.3,1159.370455
2000051366670,0,50984,1158.727273
1592009835505,0,50433.3,1146.211364
3090000066762,0,50344.6,1144.195455
1200051228754,673098,50324.5,16441.42045
1800061584761,0,50208.4,1141.1
2500000863844,20179.3,49833.5,1591.2
1900021425835,0,49812,1132.090909
1650000463977,0,49756.5,1130.829545
1580000248590,0,49537,1125.840909
1200051203192,115420.7,49311.5,3743.913636
2000027357261,54882,48951.7,2359.856818
1900090953124,0,48884.5,1111.011364
1200010088096,0,48816.6,1109.468182
2000054334324,3742.8,48700.7,1191.897727
1030058468073,18359.6,48653.6,1523.027273
1800060053032,0,48542.7,1103.243182
1600000146688,23904,48460,1644.636364
2000027342567,12574.8,48403.1,1385.861364
1900091002008,0,48362.9,1099.156818
1580000186570,0,48156.7,1094.470455
1200063093077,0,48128.7,1093.834091
1200063093086,0,48128.7,1093.834091
1800052746610,0,47675,1083.522727
1100770693409,0,47650.6,1082.968182
1200051450380,0,47634.5,1082.602273
2000052893278,0,47572,1081.181818
1580000499987,0,47496.9,1079.475
1200010146473,0,47421,1077.75
1300037720177,21972.7,47391.7,1576.463636
1200010198365,23758.8,47293.5,1614.825
1200010115651,10505.5,47281.7,1313.345455
2198765262693,0,47172.4,1072.1
1800060315791,522451.3,47076.8,12943.82045
1700051155601,0,46948.5,1067.011364
1640000309587,16990.7,46901.7,1452.1
1200050500998,0,46856.8,1064.927273
2200030352139,58828.8,46849.5,2401.779545
1900090873667,0,46658.1,1060.411364
1050001694058,0,46642.5,1060.056818
1427279100003,221278.5,46545.5,6086.909091
1200010037204,0,46523.2,1057.345455
1023504915326,1009755.5,46305.5,24001.38636
1900092620450,0,46286.9,1051.975
1900049384464,96811.6,46153.4,3249.204545
1580001806047,37694.5,45955,1901.125
2100040329249,117774.8,45914.1,3720.202273
2000027291070,0,45850.6,1042.059091
3300000055758,0,45781,1040.477273
2700004420226,201950.8,45400.6,5621.622727
1200050500989,0,45358.6,1030.877273
1200063118280,0,45235.4,1028.077273
1200063118313,0,45235.4,1028.077273
1050002921389,0,45222,1027.772727
1800061671494,0,45094.1,1024.865909
1200062214936,0,45020.3,1023.188636
2000053878892,2060.2,44909.6,1067.495455
1713788854753,13519.4,44873.2,1327.104545
2000051618240,0,44641.3,1014.575
1460001187230,0,44334.1,1007.593182
1300035359051,0,44310.7,1007.061364
1900026427242,0,43996.9,999.9295455
1620000160602,0,43977.7,999.4931818
1200010079463,0,43667.1,992.4340909
2200030368290,0,43389,986.1136364
1200010257611,58367.7,43088,2305.811364
1170002147791,0,42956.8,976.2909091
1200060473231,0,42945.9,976.0431818
2600002373207,0,42521.1,966.3886364
1592001109586,13410.7,42487.1,1270.404545
1030044712005,78885,41969.7,2746.697727
3400000437703,0,41956.4,953.5545455
1200010186769,0,41805,950.1136364
1419065313000,0,41713.1,948.025
1416961513003,0,41570.3,944.7795455
2000053919954,0,41535,943.9772727
1200010045260,0,41289.7,938.4022727
1160000329193,15084.5,40941.6,1273.320455
1424605000009,9453,40697.5,1139.784091
1592001081753,0,40508,920.6363636
1900044425920,0,40333.7,916.675
1300035362541,0,39893.4,906.6681818
1600000144110,0,39786.4,904.2363636
1600000137016,110025.9,39712.6,3403.147727
1600000153036,22800.8,39685.9,1420.152273
2000051829699,0,39413,895.75
1200010018753,660710,39382,15911.18182
1470001686689,83212.8,39376.9,2786.129545
1900092758229,0,39355.5,894.4431818
1712314515809,62.2,39167.2,891.5772727
1100039667241,16008.4,39123.4,1252.995455
3200000789881,10984.7,38949.6,1134.870455
2500021511276,4797.2,38639.7,987.2022727
1426670000009,0,38574.5,876.6931818
1800051787270,67160.3,38521.3,2401.854545
1592009625319,0,38516.5,875.375
1800035252070,0,38490.4,874.7818182
1470000278440,377987.8,38479.9,9465.175
1800035345948,0,38469.5,874.3068182
1100039508852,0,38247.6,869.2636364
2380002886162,113132.8,38194.1,3439.247727
1580000729250,3316.4,37678.5,931.7022727
1711981185206,0,37420.4,850.4636364
1200062580219,0,37348.7,848.8340909
1200010102963,0,37334.4,848.5090909
1460000340535,0,37330,848.4090909
1900091982720,4804.6,37327.8,957.5545455
2000060450033,0,37063,842.3409091
